"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Should successfully retrieve user's chats","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatsSuccess"
"","11","Should return 404 when user not found on resend","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testEmailResendUserNotFound"
"","17","Should successfully delete interest","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testDeleteInterest"
"","21","Should return empty result when no recommendations match filter","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testGetFilteredRecommendationsEmpty"
"","14","Should return 401 when updating work profile without authentication","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUpdateWorkProfileWithoutAuthentication"
"","3","Should throw when verification code expired","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testVerifyCodeThrowsWhenExpired"
"","17","Should return 400 when password is missing","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Login Controller Tests","com.luxus.tinterest.controller.LoginControllerTests","testLoginWithoutPassword"
"","2","Should throw invalid refresh token when token is missing","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testRotateThrowsWhenTokenMissing"
"","3","Should throw when token is invalid","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","JwtService Unit Tests","com.luxus.tinterest.service.JwtServiceTests","testValidateThrowsForInvalidToken"
"","73","Should allow registration without authentication","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Registration Controller Tests","com.luxus.tinterest.controller.RegistrationControllerTests","testRegistrationWithoutAuthentication"
"","2","Should throw NullPointerException when gender distribution contains invalid data","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenGenderDistributionContainsInvalidData"
"","21","Should return 401 when updating communication profile without authentication","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUpdateCommunicationProfileWithoutAuthentication"
"","15","Should return 400 when recipientId is missing","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testCreateDirectChatWithoutRecipient"
"","17","Should return 400 for unsupported file format","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarUnsupportedFormat"
